t x0 y0 x1 y1 x2 y2 vx0 vy0 vx1 vy1 vx2 vy2 
0.9 0.0900576 0.0120894 1 0.425821 1.90994 0.0120894 0.177908 0.0351516 -3.2474e-17 0.429697 -0.177908 0.0351516 
0.91 0.0918493 0.0124466 1 0.430107 1.90815 0.0124466 0.179169 0.0357248 -3.71925e-17 0.42855 -0.179169 0.0357248 
0.92 0.0936535 0.0128096 1 0.434381 1.90635 0.0128096 0.180415 0.036298 -4.01068e-17 0.427404 -0.180415 0.036298 
0.93 0.0954699 0.0131783 1 0.438643 1.90453 0.0131783 0.181647 0.0368712 -3.91354e-17 0.426258 -0.181647 0.0368712 
0.94 0.0972986 0.0135528 1 0.442894 1.9027 0.0135528 0.182866 0.0374442 -3.84415e-17 0.425112 -0.182866 0.0374442 
0.95 0.0991393 0.0139329 1 0.447134 1.90086 0.0139329 0.18407 0.0380169 -3.747e-17 0.423966 -0.18407 0.0380169 
0.96 0.100992 0.0143188 1 0.451362 1.89901 0.0143188 0.18526 0.0385894 -3.6221e-17 0.422821 -0.18526 0.0385894 
0.97 0.102856 0.0147104 1 0.455579 1.89714 0.0147104 0.186437 0.0391616 -3.88578e-17 0.421677 -0.186437 0.0391616 
0.98 0.104732 0.0151078 1 0.459784 1.89527 0.0151078 0.187601 0.0397333 -3.9968e-17 0.420533 -0.187601 0.0397333 
0.99 0.10662 0.0155108 1 0.463978 1.89338 0.0155108 0.188751 0.0403045 -4.64906e-17 0.419391 -0.188751 0.0403045 
1 0.108519 0.0159196 1 0.468161 1.89148 0.0159196 0.189888 0.0408753 -5.09315e-17 0.418249 -0.189888 0.0408753 
1.01 0.110429 0.016334 1 0.472332 1.88957 0.016334 0.191012 0.0414454 -5.38458e-17 0.417109 -0.191012 0.0414454 
1.02 0.11235 0.0167542 1 0.476492 1.88765 0.0167542 0.192123 0.0420149 -5.98133e-17 0.41597 -0.192123 0.0420149 
1.03 0.114282 0.01718 1 0.48064 1.88572 0.01718 0.193221 0.0425836 -6.73073e-17 0.414833 -0.193221 0.0425836 
1.04 0.116225 0.0176115 1 0.484777 1.88377 0.0176115 0.194306 0.0431517 -7.70217e-17 0.413697 -0.194306 0.0431517 
1.05 0.118179 0.0180487 1 0.488903 1.88182 0.0180487 0.195379 0.0437189 -8.46545e-17 0.412562 -0.195379 0.0437189 
1.06 0.120143 0.0184916 1 0.493017 1.87986 0.0184916 0.19644 0.0442853 -9.71445e-17 0.411429 -0.19644 0.0442853 
1.07 0.122118 0.0189401 1 0.49712 1.87788 0.0189401 0.197489 0.0448507 -1.04361e-16 0.410299 -0.197489 0.0448507 
